location,temperature,categories,premise,hypothesis,entailment,contradiction,neutral,model
noloc,-50,freezing,It is -50 degrees.,It is freezing.,0.8663485646247864,0.0020763531792908907,0.13157503306865692,roberta-large-mnli
noloc,-50,cold,It is -50 degrees.,It is cold.,0.8007335662841797,0.001022038864903152,0.19824440777301788,roberta-large-mnli
noloc,-50,cool,It is -50 degrees.,It is cool.,0.5776093006134033,0.022890271618962288,0.3995004892349243,roberta-large-mnli
noloc,-50,warm,It is -50 degrees.,It is warm.,0.005977030843496323,0.9872637391090393,0.006759193725883961,roberta-large-mnli
noloc,-50,hot,It is -50 degrees.,It is hot.,0.0016285106539726257,0.9964827299118042,0.0018888036720454693,roberta-large-mnli
noloc,-49,freezing,It is -49 degrees.,It is freezing.,0.7908914089202881,0.0030880041886121035,0.20602057874202728,roberta-large-mnli
noloc,-49,cold,It is -49 degrees.,It is cold.,0.7329447865486145,0.0012151895789429545,0.2658400535583496,roberta-large-mnli
noloc,-49,cool,It is -49 degrees.,It is cool.,0.42970263957977295,0.050111252814531326,0.5201861262321472,roberta-large-mnli
noloc,-49,warm,It is -49 degrees.,It is warm.,0.00588339613750577,0.9868906736373901,0.007225921843200922,roberta-large-mnli
noloc,-49,hot,It is -49 degrees.,It is hot.,0.0023593208752572536,0.9948717355728149,0.0027689733542501926,roberta-large-mnli
noloc,-48,freezing,It is -48 degrees.,It is freezing.,0.768851637840271,0.0029288427904248238,0.22821953892707825,roberta-large-mnli
noloc,-48,cold,It is -48 degrees.,It is cold.,0.733921229839325,0.0011604181490838528,0.26491838693618774,roberta-large-mnli
noloc,-48,cool,It is -48 degrees.,It is cool.,0.44767364859580994,0.03896629437804222,0.5133600234985352,roberta-large-mnli
noloc,-48,warm,It is -48 degrees.,It is warm.,0.005326326936483383,0.9881920218467712,0.00648168521001935,roberta-large-mnli
noloc,-48,hot,It is -48 degrees.,It is hot.,0.0018478363053873181,0.9958833456039429,0.0022688277531415224,roberta-large-mnli
noloc,-47,freezing,It is -47 degrees.,It is freezing.,0.778126060962677,0.003225576365366578,0.21864840388298035,roberta-large-mnli
noloc,-47,cold,It is -47 degrees.,It is cold.,0.7522610425949097,0.0011147895129397511,0.2466241717338562,roberta-large-mnli
noloc,-47,cool,It is -47 degrees.,It is cool.,0.44968074560165405,0.04822016507387161,0.5020990967750549,roberta-large-mnli
noloc,-47,warm,It is -47 degrees.,It is warm.,0.004737697076052427,0.9895901083946228,0.005672212224453688,roberta-large-mnli
noloc,-47,hot,It is -47 degrees.,It is hot.,0.001575913862325251,0.9964720010757446,0.0019520199857652187,roberta-large-mnli
noloc,-46,freezing,It is -46 degrees.,It is freezing.,0.785225510597229,0.0034517659805715084,0.21132272481918335,roberta-large-mnli
noloc,-46,cold,It is -46 degrees.,It is cold.,0.7569996118545532,0.001142645487561822,0.24185770750045776,roberta-large-mnli
noloc,-46,cool,It is -46 degrees.,It is cool.,0.44464758038520813,0.06707364320755005,0.4882787764072418,roberta-large-mnli
noloc,-46,warm,It is -46 degrees.,It is warm.,0.004731296561658382,0.9895735383033752,0.005695142783224583,roberta-large-mnli
noloc,-46,hot,It is -46 degrees.,It is hot.,0.0017897723009809852,0.9960391521453857,0.0021711646113544703,roberta-large-mnli
noloc,-45,freezing,It is -45 degrees.,It is freezing.,0.8058755993843079,0.0025646977592259645,0.19155973196029663,roberta-large-mnli
noloc,-45,cold,It is -45 degrees.,It is cold.,0.7882362604141235,0.00101519376039505,0.2107485830783844,roberta-large-mnli
noloc,-45,cool,It is -45 degrees.,It is cool.,0.5191243290901184,0.03918266296386719,0.4416930377483368,roberta-large-mnli
noloc,-45,warm,It is -45 degrees.,It is warm.,0.005351790226995945,0.9885764718055725,0.006071693263947964,roberta-large-mnli
noloc,-45,hot,It is -45 degrees.,It is hot.,0.0018357958178967237,0.996094286441803,0.0020699012093245983,roberta-large-mnli
noloc,-44,freezing,It is -44 degrees.,It is freezing.,0.7952776551246643,0.003225994063541293,0.20149628818035126,roberta-large-mnli
noloc,-44,cold,It is -44 degrees.,It is cold.,0.782852053642273,0.0010570677695795894,0.21609088778495789,roberta-large-mnli
noloc,-44,cool,It is -44 degrees.,It is cool.,0.44793060421943665,0.06926573812961578,0.48280370235443115,roberta-large-mnli
noloc,-44,warm,It is -44 degrees.,It is warm.,0.00435979338362813,0.9905844330787659,0.0050557926297187805,roberta-large-mnli
noloc,-44,hot,It is -44 degrees.,It is hot.,0.0017032939940690994,0.9962567090988159,0.0020399473141878843,roberta-large-mnli
noloc,-43,freezing,It is -43 degrees.,It is freezing.,0.7832189202308655,0.0033630242105573416,0.21341808140277863,roberta-large-mnli
noloc,-43,cold,It is -43 degrees.,It is cold.,0.7730251550674438,0.0011067177401855588,0.2258681207895279,roberta-large-mnli
noloc,-43,cool,It is -43 degrees.,It is cool.,0.4422527551651001,0.05234251171350479,0.5054047703742981,roberta-large-mnli
noloc,-43,warm,It is -43 degrees.,It is warm.,0.004850305616855621,0.9894514679908752,0.005698223598301411,roberta-large-mnli
noloc,-43,hot,It is -43 degrees.,It is hot.,0.001594860223121941,0.9964436888694763,0.0019615197088569403,roberta-large-mnli
noloc,-42,freezing,It is -42 degrees.,It is freezing.,0.7941698431968689,0.003189452923834324,0.20264074206352234,roberta-large-mnli
noloc,-42,cold,It is -42 degrees.,It is cold.,0.758855938911438,0.0011496269144117832,0.23999446630477905,roberta-large-mnli
noloc,-42,cool,It is -42 degrees.,It is cool.,0.4532053470611572,0.046559497714042664,0.5002351403236389,roberta-large-mnli
noloc,-42,warm,It is -42 degrees.,It is warm.,0.005399799905717373,0.9879578948020935,0.006642336491495371,roberta-large-mnli
noloc,-42,hot,It is -42 degrees.,It is hot.,0.0016660550609230995,0.9962598085403442,0.0020741838961839676,roberta-large-mnli
noloc,-41,freezing,It is -41 degrees.,It is freezing.,0.7882316708564758,0.0034923783969134092,0.2082759588956833,roberta-large-mnli
noloc,-41,cold,It is -41 degrees.,It is cold.,0.7489945888519287,0.0011772565776482224,0.24982820451259613,roberta-large-mnli
